VLK ,Metric
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_index_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_index_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_refresh_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_refresh_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_search_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_search_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_snapshot_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_snapshot_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_warmer_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_warmer_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-transport_rx_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-transport_tx_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-http_current_open
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_docs_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_get_current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_indexing_delete-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_indexing_index-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_current-docs
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_total-docs
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_fetch-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_open-contexts
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_query-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-jvm_threads_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-jvm_threads_peak
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-process_open_file_descriptors
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_largest
haproxy,{{ HOSTNAME }}.haproxy-frontend-git_protocol.de
listener,{{ HOSTNAME }}.listener-ernicorn.gauge-active
listener,{{ HOSTNAME }}.listener-ernicorn.gauge-queued
listener,{{ HOSTNAME }}.listener-gitauth.gauge-active
listener,{{ HOSTNAME }}.listener-gitauth.gauge-queued
listener,{{ HOSTNAME }}.listener-manage.gauge-active
listener,{{ HOSTNAME }}.listener-manage.gauge-queued
listener,{{ HOSTNAME }}.listener-unicorn.gauge-active
listener,{{ HOSTNAME }}.listener-unicorn.gauge-queued
load,{{ HOSTNAME }}.load.load
memcached,{{ HOSTNAME }}.memcached.connections-opened
memcached,{{ HOSTNAME }}.memcached.df-cache
memcached,{{ HOSTNAME }}.memcached.memcached_command-flush
memcached,{{ HOSTNAME }}.memcached.memcached_command-get
memcached,{{ HOSTNAME }}.memcached.memcached_command-set
memcached,{{ HOSTNAME }}.memcached.memcached_command-touch
memcached,{{ HOSTNAME }}.memcached.memcached_connections-current
memcached,{{ HOSTNAME }}.memcached.memcached_items-current
memcached,{{ HOSTNAME }}.memcached.memcached_octets
memcached,{{ HOSTNAME }}.memcached.memcached_ops-decr_hits
memcached,{{ HOSTNAME }}.memcached.memcached_ops-decr_misses
memcached,{{ HOSTNAME }}.memcached.memcached_ops-delete_hits
memcached,{{ HOSTNAME }}.memcached.memcached_ops-delete_misses
memcached,{{ HOSTNAME }}.memcached.memcached_ops-evictions
memcached,{{ HOSTNAME }}.memcached.memcached_ops-hits
memcached,{{ HOSTNAME }}.memcached.memcached_ops-incr
memcached,{{ HOSTNAME }}.memcached.memcached_ops-incr_hits
memcached,{{ HOSTNAME }}.memcached.memcached_ops-incr_misses
memcached,{{ HOSTNAME }}.memcached.memcached_ops-misses
memcached,{{ HOSTNAME }}.memcached.percent-hitratio
memcached,{{ HOSTNAME }}.memcached.percent-incr_hitratio
memcached,{{ HOSTNAME }}.memcached.ps_count
memcached,{{ HOSTNAME }}.memcached.ps_cputime
memcached,{{ HOSTNAME }}.memcached.total_events-listen_disabled
memcached,{{ HOSTNAME }}.memcached.uptime
memory,{{ HOSTNAME }}.memory.memory-buffered
memory,{{ HOSTNAME }}.memory.memory-cached
